campus_name,alamat,kota
Sekolah Tinggi Agama Islam Al Amanah Al-Gontory,"Jalan Pondok Pesantren Al,-Amanah Al-Gontory, Kelurahan Parigi Baru, Kecamatan Pondok Aren",Nan
Stisip Persada Bunda,Jalan Diponegoro No 42,Pekanbaru
Sekolah Tinggi Agama Islam Al-Hidayat,"Komplek Kauman Lasem Desa Karangturi, Rt. 02 Rw. 02, Kecamatan Lasem, Kabupaten Rembang , Jawa Tengah",Rembang
Institut Attaqwa Kh. Noer Alie Bekasi,"Jalan Ujung Harapan, Kelurahan Bahagia, Kecamatan Babelan",Nan
Politeknik Bisnis Mayasari,Nan,Tasikmalaya
Universitas Al-Falah As-Sunniyah,Nan,Jember
Stit Manhalul Ma`Arif Praya Lombok Tengah,Buncalang Desa Sukarara Kec. Jonggat Kab. Lombok Tengah Ntb,Lombok Tengah
Sekolah Tinggi Ilmu Hukum Labuhan Batu,Jalan Singamangaraja No 126 A Aektapa,Nan
Stid Mustafa Ibrahim Al-Ishlahuddiny Kediri Lombok Barat Ntb,Jln. Tgh. Ibrahim Al-Kholidy Kediri Lombok Barat.,Lombok Barat
Institut Kesehatan Rajawali,Nan,Bandung
Stkip Budidaya,Jalan Gaharu No 147 Jati Makmur Kec Binjai Utara,Binjai
Amik Bsi Karawang,Jln. Ahmad Yani No.98 Karawang,Nan
Akademi Sekretari & Manajemen Industri Budhi,Jalan Imam Bonjol No 41,Nan
Akademi Komunitas Negeri Rejang Lebong,Jalan Basuk Rahmad No.27 Dwi Tunggal Curup,Rejang Lebong
Sekolah Tinggi Agama Islam Internasional Bonyan,Nan,Nan
Sekolah Tinggi Ilmu Kesehatan Jembrana,Jalan Sudirman No. 02 Negara- Bali,Jembrana
Stpak St. Yohanes Penginjil Ambon,"Jln. Pakatora Pohon Mangga, Kole-Kole Pante, Rt. 001/Rw.06 Poka-Rumahtiga Ambo",Ambon
Sekolah Tinggi Ilmu Ekonomi Ppi,Jalan Citra Utama Barat No.29 I 10 Citra Raya Kec. Cikupa,Tangerang
Sekolah Tinggi Teologi Immanuel Nusantara Jakarta,"Jl. Wijaya I No. 41 Kebayoran Baru, Jakarta Selatan",Administrasi Jakarta Selatan
Akademi Komunitas Perkebunan Yogyakarta,Nan,Sleman
Universitas Matana,"Paramount Skyline Complex, Tower D, Jl. Cbd Barat Lot #1, Gading Serpong, Tanger",Tangerang
Stai Darussalam Nganjuk,Jl. Kh. Wahid Hasyim 126 Krempyang Tanjunganom Nganjuk Jawa Timur.,Nganjuk
Sekolah Tinggi Ilmu Manajemen Indonesia Handayani,Jalan Tukad Banyusari No 17 B,Denpasar
Akademi Kebidanan Berlian Nusantara,Jl. Perubaya I No. 20,Nan
Universitas Satya Negara Indonesia,Jl Arteri Pondok Indah No 11 Kebayoran Lama,Administrasi Jakarta Selatan
Akademi Kebidanan Widya Karsa Jayakarta,Rs Kanker Dharmais Jalan Letjen S Parman,Nan
Universitas Battuta,"Jl. Sekip Simpang Jl Sikambing No. 1, Kel. Sekip",Nan
Stkip Hamzanwadi,"Jalan Tgkh. Muhammad Zainuddin Abdul Majid No. 132 Pancor - Selong, Lombok Tim",Nan
Universitas Baliem Papua,Nan,Jayawijaya
Sekolah Tinggi Manajemen Informatika Dan Komputer Komputama Majenang,Nan,Cilacap
Sekolah Tinggi Ilmu Ekonomi Bina Bangsa,Jl. Raya Serang-Jakarta Km 03 (Pakupatan),Nan
Universitas Pekalongan,Jalan Sriwijaya No 3,Pekalongan
Universitas Islam Darussalam,"Jl. Kh. Ahmad Fadlil No. 08, Rt 06 Rw 13, Desa Dewasari, Kecamatan Cijeungjing",Ciamis
Institut Kesehatan Dan Teknologi Buton Raya,Nan,Bau Bau
Stai Raden Qosim Lamongan,Jl. Raden Qosim No.88 Rt: 02 Rw 01 Pondok Pesantren Sunan Drajat Banjaranyar Pac,Nan
Universitas Kanjuruhan,Jl. S. Supriyadi No. 48 Kel. Bandungrejosari Kec. Sukun,Malang
Institut Teknologi Dan Bisnis Lembah Dempo,Nan,Pagar Alam
Stkip Ypm Bangko,Jalan Jenderal Sudirman Km 2,Merangin
Akademi Keperawatan Kebonjati,Jalan Kawaluyaan No 70,Bandung
Akademi Kebidanan Bina Husada Tebing Tinggi,Jl Prof Muhammad Yamin Sh No 1 A,Nan
Politeknik Mandiri Bina Prestasi,Jl Jamin Ginting No 267-271 Padang Bulan,Medan
Sekolah Tinggi Ilmu Ekonomi Nganjuk,Jl Abdul Rahman Saleh No 21,Nganjuk
Universitas Islam Negeri Sultan Aji Muhammad Idris Samarinda,"Jl . H. A. M. Rifaddin, Harapan Baru, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur",Samarinda
Akademi Keperawatan Keris Husada,Jalan Yos Sudarso Komplek Marinir Cilandak,Administrasi Jakarta Selatan
Amik Harapan Bangsa Surakarta,"Jl. Ir Sutami No. 46 Sekarpace, Jebres Solo",Surakarta
Stia Indragiri,Jl. Azki Aris - Rengat,Pelalawan
Sekolah Tinggi Ilmu Kesehatan Budi Mulia,Jl. Saranani No. 25,Kendari
Universitas Iskandar Muda,"Jalan Kampus Unida, No 15, Surien, Meuraxa",Banda Aceh
Universitas Wanita Internasional,Jl. Ahmad Yani No. 18-20 Bandung,Bandung
Sekolah Tinggi Ilmu Ekonomi Panca Bhakti Palu,Jalan Dr Suharso No 36-A,Palu
Akademi Keuangan Dan Perbankan Ypk,Jalan Wijaya Ii62 Kebayoran Baru,Nan
Stai Ar-Ridho Bagansiapiapi,Jl. Kecamatan No.9 Labuhan Tangga Besar Bagansiapiapi Rokanhilir Riau,Nan
Sekolah Tinggi Ilmu Pariwisata Manado,Jl Kampus Stp Pinalelepo Sosonopan Paniki Bawah Kecamatan Mapanget Manado,Manado
Universitas Dehasen Bengkulu,Jalan Meranti Raya No 32,Bengkulu
Akademi Kebidanan Cianjur,Jl Pangeran Hidayatullah 105 Cianjur,Nan
Sekolah Tinggi Ilmu Ekonomi Budi Pertiwi,Jalan Surotokunto No 2 Rawagabus,Karawang
Sekolah Tinggi Teologi Diakonos,Jalan Pahlawan Gang V Nomor 909 Tanjung Purwokerto Selatan Jawa Tengah,Banyumas
Amik Al-Ma Soem,Jalan Raya Cileunyi No 22 Jatinangor,Sumedang
Sekolah Tinggi Ilmu Kesehatan Columbia Asia,Jln. Sei Batang Hari No. 58-58A Babura Sunggal Kec. Medan Sunggal,Nan
Akademi Bahasa Asing Persada Bunda,Jalan Diponegoro No 42,Pekanbaru
Institut Teknologi Dan Bisnis Swadharma,Jalan Malaka No 3,Administrasi Jakarta Barat
Akademi Keuangan Dan Perbankan Effata Kupang,Jalan Sumba No 17 Fatubesi,Kupang
Institut Teknologi Dan Bisnis Jakarta,Nan,Administrasi Jakarta Selatan
Institut Kesehatan Helvetia Pekanbaru,Nan,Nan
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Manado,I : Jl. Sasuit Tubun Nomor 9 Kel. Istiqlal. Kec. Wenang. Manado- Sulawesi Utara,Manado
Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya,Jalan Menur Pumpungan 30,Surabaya
Stit Al-Hidayah Tasikmalaya,"Jl. Cibeuti No. 69 Kawalu, Kota Tasikmalaya",Tasikmalaya
Sekolah Tinggi Ilmu Hukum Zainul Hasan,Jl Raya Kraksaan No 360,Nan
Akademi Kebidanan Farmako Husada Al-Muchtari Bogor,Nan,Nan
Institut Agama Islam Bakti Negara Tegal,Nan,Tegal
Stkip Nias Selatan,Jl. Ps. Teluk Dalam Nias Selatan,Nan
Akademi Gizi Andalusia,,Nan
Sekolah Tinggi Ilmu Ekonomi Moh Husni Thamrin,Jl Raya Pondok Gede No 23-25 Kramat Jati,Nan
Politeknik Pertanian Negeri Payakumbuh,Jl Raya Tanjung Pati Km 7 Kabupaten Limapuluh Kota,Lima Puluh Kota
Sekolah Tinggi Teknik Qomaruddin,Jl Raya Bungah No 1,Nan
"Stit Darul Ulum Kotabaru, Kalimantan Selatan",Jl. Mega Indah Km. 2 Kotabaru,Kotabaru
"Stai Ma`Arif Sampang Madura, Jawa Timur",Jl. Raya Bancelok Kec. Jrengik Kab. Sampang,Sampang
Politeknik Lp3I Medan,"Jalan Sei Serayu No,48D Kelurahan Babura Kecamatan Medan Sunggal",Medan
Universitas Doktor Nugroho Magetan,"Jalan Sendang Kamal No.50, Kel. Kraton, Maospati, Magetan",Magetan
Institut Agama Islam As Siddiq Kie Raha Maluku Utara,Jalan Kampus Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Kie Raha Kelurahan Jamb,Ternate
Institut Keguruan Dan Ilmu Pendidikan Siliwangi,Jl Terusan Jenderal Sudirman - Cimahi,Cimahi
Politeknik Mercusuar Indonesia,"Jl. Dr. Saharjo Iiib No.16, Campurejo",Nan
Stmik Kuwera,"Jalan Kalideres Permai C-5 Rt 002 Rw 014, Kalideres",Administrasi Jakarta Barat
Sekolah Tinggi Ilmu Ekonomi Bentara Persada Batam,Kelurahan I Sub Wilayah Khusus,Batam
Akademi Kebidanan Adhira Mustika Gayo,Takengon,Nan
"Stai Yamra Merauke, Papua",Jl. Parakomando Rt 11/ Rw 04,Merauke
Sekolah Tinggi Ilmu Kesehatan Bali Wisnu Dharma Denpasar,Jl. Kebo Iwa No.1-2,Nan
Akademi Sekretari Dan Manajemen Jambi,Jalan Hos Cokroaminoto No 29 Simpang Kawat,Nan
Sekolah Tinggi Agama Buddha Negeri Sriwijaya Tangerang,"Jalan Edutown Bsd City, Kel. Pagedangan, Kec. Pagedangan",Tangerang
Sekolah Tinggi Ilmu Ekonomi Indocakti,"Jl. R. Panji Suroso No.91-A, Rt 07, Rw 07 Kel. Purwodadi, Kec. Blimbing, Kota Malang",Nan
Institut Agama Islam Negeri Lhokseumawe,"Jalan Medan-Banda Aceh Km. 275 No. 1 Buket Rata, Alue Awe, Muara Dua",Lhokseumawe
Akademi Farmasi Isfi Banjarmasin,"Jl. Flamboyan Iii No 7B Kayutangi, Banjarmasin, Kalimantan Selatan",Banjarmasin
Stkip Simbiosis,Nan,Ende
Sekolah Tinggi Ilmu Statistik,Jl. Otto Iskandardinata No. 64C Jakarta,Nan
Akademi Akuntansi Denpasar,Jl Sari Gading G Kalisuci No 2,Denpasar
Sekolah Tinggi Farmasi Ypib Cirebon,"Jalan Perjuangan No. 7 Kel. Karyamulya. Kec Kesambi, Kota Cirebon",Cirebon
Sekolah Tinggi Ilmu Tarbiyah Insida,"Jl. Malaka Hijau No.45 Malaka Country, Pondok Kopi Jakarta Timur",Nan
Institut Agama Hindu Negeri Gde Pudja Mataram,"Jl. Pancaka No.7B, Mataram Barat",Nan
Sekolah Tinggi Manajemen Ppm,Jalan Menteng Raya No 9,Administrasi Jakarta Pusat
Stkip Muhammadiyah Bogor,Jl. Raya Leuwiliang No. 106 Bogor,Wakatobi
"Institut Agama Islam Daar Al-Ulum (Iaidu) Asahan, Sumatera Utara",Jl. Mahoni Sibogat Kelurahan Kisaran Baru Kecamatan Kisaran Barat Kab. Asahan,Asahan
Sekolah Tinggi Ilmu Ekonomi Indonesia Banda Aceh,Jalan Sultan Malikul Saleh Po Box 008,Banda Aceh
Stmik Atma Luhur,Jl Raya Sungailiat Selindung,Nan
Universitas Pembangunan Panca Budi,"Jl. Jend. Gatot Subroto Km 4,5 Sie Sikambing Medan 20122",Medan
Sekolah Tinggi Teknologi Nurul Jadid,Pp Nurul Jadid Po Box 1 Paiton,Nan
Sekolah Tinggi Agama Islam Al Hikmah Global Cendikia Kota Depok Jawa Barat,Jl. Raya Cipayung Jembatan Serong Kelurahan Cipayung Kec. Cipayung Kota Depok Ja,Nan
Stkip Puangrimaggalatung Sengkang,Jalan Sultan Hasanuddin No 27 Sengkang,Nan
Politeknik Bina Madani,"Jl. Industri Raya No. 57, Kelurahan Cikarang Kota, Kec. Cikarang Utara",Bekasi
Sekolah Tinggi Ilmu Kesehatan Kepanjen,Jl. Trunojoyo No 16 Panggungrejo Kepanjen,Malang
Sekolah Tinggi Teknik Malang,Jl.Soekarno Hatta No.94,Malang
Politeknik Negeri Bali,Kampus Politeknik Negeri Bali Bukit Jimbaran Kuta Selatan Badung-Bali,Badung
Sekolah Tinggi Ilmu Syariah Abu Zairi Bondowoso Jawa Timur,"Desa Pakisan, Kecamatan Tlogosari Kabupaten Bondowoso",Bondowoso
Amik Bsi Bandung,Jl Sekolah Internasional No. 1-6. Antapani - Kota Bandung,Nan
Stmik Widya Cipta Dharma,Jalan M Yamin No 14 Kelurahan Samarinda Ulu,Samarinda
Politeknik Sekayu,"Jl Kolonel Wahid Udin, Kel. Kayuara, Kec. Sekayu",Musi Banyuasin
Akademi Keperawatan Pemprov Bengkulu,Jalan Indra Giri No. 4 Padang Harapan,Nan
Institut Tarumanagara,Nan,Administrasi Jakarta Selatan
Institut Studi Islam Darussalam (Isid) Gontor Ponorogo,Kampus Pusat Institut Studi Islam Darussalam (Isid) Gontor Ponorogo,Nan
Sekolah Tinggi Ekonomi Syariah Al-Falah Panceng Gresik Jawa Timur,-,Gresik
Politeknik Halmahera,Labuha,Tidore Kepulauan
Politeknik Trijaya Krama,Jalan Iskandar Muda Nomor 3 D Medan,Nan
Politeknik Negeri Madura,Jl. Raya Camplong Km. 4 Taddan Camplong Sampang Jawa Timur 69281.,Sampang
Sekolah Tinggi Manajemen Informatika Dan Komputer Bina Adinata,Jl. Serikaya No.8 Kabupaten Bulukumba,Bulukumba
Sekolah Tinggi Ilmu Pertanian Puangrimanggalatung,Jalan Sultan Hasanuddin No 27,Wajo
Akademi Komunitas Nurul Jadid,Nan,Jember
Institut Bisnis Dan Komunikasi Swadaya,Nan,Administrasi Jakarta Timur
Universitas Ibn Khaldun Bogor,Jl Kh Sholeh Iskandar Km 2 Kedung Badak Bogor,Bogor
Stit Darul Ulum Kubu Raya Kalimantan Barat,-,Kubu Raya
Sekolah Tinggi Ilmu Kesehatan Griya Husada Surabaya,Nan,Surabaya
Sekolah Tinggi Ilmu Teknologi Kelautan,Jl Perintis Kemerdekaan Iii,Nan
Institut Prima Bangsa,Nan,Nan
Akademi Kebidanan Bunga Husada,Samarinda,Nan
"Stai Raudhatul Akmal, Deli Serdang, Sumatera Utara",Jln. Nusa Indah Gg. Melati Desa Tanjung Sari Kec. Batang Kuis Kab. Deli Serdang,Deli Serdang
Sekolah Tinggi Teologi Siloam Medan,,Medan
Stmik Jayakarta,Jalan Salemba Raya No 24 Jl. Salemba I No. 10-12A,Cianjur
Sekolah Tinggi Ilmu Ekonomi 45 Mataram,Jl Bung Karno Pesonggoran Pagutan,Mataram
Institut Islam Mambaul Ulum Surakarta,-,Surakarta
Politeknik Ilmu Pemasyarakatan,"Jl. Raya Gandul, Limo Depok",Depok
Stikes Bina Nusantara,Idi Rayeuk,Nan
Stt Rumah Murid Kristus Bitung,Jl. Raya Bitung-Likupang Kel. Dua Sudara,Nan
Sekolah Tinggi Ilmu Kesehatan Gunung Maria Tomohon,Nan,Tomohon
Poltekkes Kemenkes Surabaya,Jln. Pucang Jajar Tengah No 56 Surabaya.,Nan
Sekolah Tinggi Agama Islam Ahmad Sibawayhie,"Jl. Pabrik Gula Demaas, Rt 02 Rw. 01 Desa Demung, Kecamatan Besuki Kabupaten Situbondo Provinsi Jawa Timur",Situbondo
Sekolah Tinggi Manajemen Industri Indonesia,Jl Tanjung Duren Barat Iii1,Nan
Universitas Bhakti Husada,Nan,Nan
Akademi Keperawatan Toraya,Jl. Tritura No. 48 Makale Tana Toraja,Tana Toraja
Akademi Keperawatan Ibnu Sina Kota Sabang,Sabang,Sabang
Sekolah Tinggi Ilmu Kesehatan Salewangang Maros,Jalan Poros Makassar-Maros Telp.0411 3882110,Nan
Stia Dan Manajemen Kepelabuhan Barunawati,Jl Perak Barat No 173,Surabaya
Universitas Mayjen Sungkono,Jalan Irian Jaya No 4,Mojokerto
Universitas Muhammadiyah Bulukumba,Jalan Ir. Soekarno No. 9,Bulukumba
Universitas Islam Kebangsaan Indonesia,"Jl. Banda Aceh, Blang Bladeh",Bireuen
Institut Agama Islam Sumbar,Jl. Kolonel Anas Malik By Pass Pariaman Provinsi Sumatera Barat,Indragiri Hulu
Universitas Katolik Darma Cendika,Jl. Dr. Ir. H. Soekarno No. 201 Surabaya 60117,Surabaya
Akademi Bahasa Asing Santa Ursula,Jl Kh Moh Mansyur No 19-25 Jembatan Lima,Nan
Sekolah Tinggi Teknologi Industri Turen,"Jl Panglima Sudirman 2, Turen",Malang
Sekolah Tinggi Teologi Injili Bethsaida Medan,,Nan
Akademi Kebidanan Amanah Muara Bungo,Jalan H Usman Suid Arah Ptp,Bungo
Sekolah Tinggi Bahasa Asing Swadaya Medan,Jln. Yose Rizal N0.3A,Nan
Universitas Respati Indonesia,"Jl Bambu Apus I No 3, Cipayung, Jakarta Timur",Administrasi Jakarta Timur
Institut Teknologi Dan Bisnis Trenggalek,Nan,Trenggalek
Politeknik Hang Tuah Jakarta,Nan,Administrasi Jakarta Pusat
Stit Ypi Payakumbuh,"Jl. Sudirman No. 64 Kel. Balai Gadang Kec. Payakumbuh Utara, Kota Payakumbuh Sum",Payakumbuh
Universitas Borneo Tarakan,Jl. Amal Lama No.01 Tarakan,Tarakan
Stai Mamba`Ul Ulum Surakarta (Staimus),Jl. Sadewa No. 14 Serengan Surakarta,Nan
Akademi Manajemen Keuangan Bsi Jakarta,Jl. Ciledug Raya No.168,Nan
Sekolah Tinggi Ilmu Administrasi Setih Setio,Jalan Setih Setio No 5,Bungo
Institut Agama Islam (Iai) Pangeran Diponegoro Nganjuk,"Jln. Wilis Kelurahan Kramat, Kec. Nganjuk",Nan
Sekolah Tinggi Ilmu Ekonomi Jambi,Jalan Hos Cokroaminoto No 29 Simpang Kawat,Jambi
Universitas Pertiba,Nan,Pangkal Pinang
Stit Muhammadiyah Aceh Barat Daya,Jln. Nasional (Komplek Pendidikan) Padang Meurante Aceh Barat Daya,Aceh Barat Daya
Sekolah Tinggi Agama Kristen Pais Talaud,-,Nan
Sekolah Tinggi Ilmu Kesehatan Wira Husada,Jalan Glendongan Babarsari,Sleman
Stmik Swadharma,Jalan Malaka No 3,Nan
Sekolah Tinggi Agama Islam Negeri Sultan Abdurrahman Kepulauan Riau,Jln. Lintas Barat Km. 19 Toapaya,Tanjung Pinang
Sekolah Tinggi Bio Sains Swadiri,Nan,Jayapura
"Stit Raudhatul Ulum, Sakatiga Indralaya, Kota Palembang, Sumatera Selatan","-Kampus A Pondok Pesantren Raudhatul Ulum Sakatiga Indralaya Ogan Ilir Sumsel """"",Ogan Ilir
Politeknik Bintan Cakrawala,Nan,Bintan
Akademi Keperawatan Pemkab Belu,Jln. Wehor Kabuna-Haliwen Atambua - Ntt,Nan
Institut Teknologi Dan Bisnis Muhammadiyah Kolaka,Nan,Muna Barat
Sekolah Tinggi Teologi Doulos Jakarta,"Jl. Tugu No. 3 Rt 04 Rw 04, Cipayung-Jakarta Timur",Nan
Akademi Kebidanan Panti Wilasa,Jl. Ciliwung Ix No.1,Semarang
Akademi Kebidanan Madani Sinjai,Jalan Andi Mandasini No 2,Nan
Stikes Widya Husada Medan,Jl. Williem Iskandar No. 116 Medan,Nan
Sekolah Tinggi Manajemen Ipmi,Jalan Rawajati Timur I No 1 Kalibata Jakarta Selatan,Kepulauan Talaud
Stisip Guna Nusantara,,Cianjur
Universitas Tangerang Raya,Nan,Tangerang
Amik Depati Parbo Kerinci,Jalan Pancasila No 29 Sawahan - Sungai Penuh,Sungai Penuh
Institut Teknologi Kesehatan Dan Sains Wiyata Husada Samarinda,"Jl. Kadrie Oening Gang Monalisa No.77, Air Hitam",Samarinda
Politeknik Soca,Nan,Administrasi Jakarta Timur
Sekolah Tinggi Ilmu Ekonomi Wijaya Mulya,Jalan Kutai Raya Sumber Jetis Surakarta,Surakarta
Akademi Telekomunikasi Indonesia Sleman,Jalan Ringroad Utara Nganti Sendangadi Mlati Sleman,Nan
Institut Agama Islam Ar-Risalah Inhil Riau,"Jalan Tunas Harapan No. 1 Sungai Guntung, Kecamatan Kateman, Kabupaten Indragiri Hilir, Provinsi Riau",Indragiri Hilir
Sekolah Tinggi Ilmu Ekonomi Ypup Makassar,Jalan Andi Tonro No 17,Makassar
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kendal,Jl. Pemuda 42 - 46 Kendal,Kendal
Sekolah Tinggi Ilmu Hukum Sunan Giri,Jl Joyo Raharjo 240-A Merjosari,Nan
Stid Dirosat Islamiyah Al-Hikmah Mampang Jakarta Selatan,"Jl. Bangka Iiia No.25 Pela Mampang, Jakarta Selatan",Administrasi Jakarta Selatan
Iain Sultan Thaha Saifuddin Jambi,"Kota Jambi, Jambi",Nan
Akademi Kebidanan Dehasen Bengkulu,Jl. Merapi Raya No. 43 Kel. Kebun Tebeng Kec. Ratu Agung Kota Bengkulu,Nan
Institut Teknologi Kesehatan Dan Sains Muhammadiyah Sidrap,Nan,Sidenreng Rappang
Universitas Dr. Soebandi,Nan,Jember
Sekolah Tinggi Ilmu Kesehatan Medistra Indonesia,Jl Cut Mutia No 88-A,Bekasi
Stain Kediri,Jl Sunan Ampel No 7 Ngronggo,Kediri
Stisip Al Washliyah Banda Aceh,Jalan Panti Al Washliyah No 1,Banda Aceh
Sekolah Tinggi Ilmu Ekonomi Islam Napala,Nan,Nan
Sekolah Tinggi Ilmu Ekonomi Kosgoro,Jl Dr Soebandi No 49,Nan
"Sekolah Tinggi Ilmu Qur`An (Stiq) Amuntai, Kalimantan Selatan",Jl.Rakha Pakapuran Kecamatan Amuntai Utara Kabupaten Hulu Sungai Utara (Komplek,Barito Selatan
Universitas Kalbis,Nan,Administrasi Jakarta Pusat
Amik Profesional Makassar,Jalan A Pettarani No 27,Nan
Universitas Islam Malang,Jalan Mayjen Haryono No 193,Malang
Sekolah Tinggi Filsafat Theologia Indonesia Timur,Jalan Baji Dakka No 7 Makassar,Makassar
Universitas Trisakti,Jalan Kyai Tapa No 1 Grogol,Administrasi Jakarta Barat
Akademi Keperawatan Indah,Jalan Jaya Ii No 24,Nan
Universitas Tunas Pembangunan Surakarta (Utp),Jalan Balekambang Lor No 1 Manahan Banjarsari,Surakarta
Politeknik Pratama Mulia,Jalan Haryo Panular No 18 A,Nan
Stikes Muhammadiyah Cirebon,Jalan Kali Tanjung Timur 1418,Nan
Universitas Hkbp Nommensen Pematangsiantar,Jl. Sangnaualuh No 4. Pematangsiantar Kel. Siopat Suhu,Pematangsiantar
Sekolah Tinggi Ilmu Tarbiyah Sibawaihi Mutawalli,Nan,Nan
Akademi Perikanan Sorong,Jl. Kapitan Pattimura Tanjung Kasuari Suprau Kotak Pos 118 Kota Sorong Papua Ba,Nan
"Stit Al-Azhar Diniyyah (Stitad) Muaro Bungo, Jambi",Jl.Kol. Amir Hamzah No.36 Sungai Kambang Telanaipura Kota Jambi,Tebo
Akademi Kebidanan Satu Enam Lima,Pekanbaru,Nan
Akademi Kebidanan Yaspen Tugu Ibu,Nan,Nan
Stai Muhammadiyah Tulungagung,Jl. Pahlawan Gg.Iii/No.27 Ds.Ketanon Kec.Kedungwaru,Tulungagung
Sekolah Tinggi Ilmu Ekonomi Cendekia Karya Utama,Jalan Tembalang Raya 15,Semarang
Institut Teknologi Dan Bisnis Indragiri,Nan,Indragiri Hulu
Sekolah Tinggi Ilmu Ekonomi Pancasetia,"Jalan Ahmad Yani Km 5,5 Komplek Waringin",Banjarbaru
Sekolah Tinggi Ilmu Hukum Adhyaksa,Nan,Administrasi Jakarta Timur
Sekolah Tinggi Teologi Malinggang,,Nan
Institut Sains Dan Kependidikan Kie Raha Maluku Utara,Nan,Tidore Kepulauan
Universitas Aufa Royhan,"Jl. Batunadua Ujung Gurap Baruas, Kota Padangsidimpuan",Nan
Universitas Tanri Abeng,Jl. Swadarma Raya No. 58 Ulujami-Pesanggarahan Jakarta Selatan Indonesia,Bintan
Stikes Hamzar Memben Lombok Timur,Jl Raya Memben Daya,Lombok Timur
Institut Studi Islam Muhammadiyah Pacitan,"Jl. Gajah Mada Nomor 20, Kelurahan Baleharjo, Kecamatan Pacitan, Kabupaten Pacitan, Provinsi Jawa Timur",Pacitan
Stikes As Syifa,Jl. Durian Lk. Iv Kel. Kisaran Naga,Asahan
Sekolah Tinggi Ilmu Bahasa Banten Raya,Jl. Raya Labuan Km.05 Cikoneng Pandeglang Banten,Nan
Institut Agama Islam (Iai) Nurul Hakim Kediri Lombok Barat Ntb,-,Nan
Sekolah Tinggi Alkitab Nusantara,Jl. Bandulan Barat 332,Aceh Besar
Sekolah Tinggi Teologi Sola Gratia Indonesia,,Surabaya
Sekolah Tinggi Ilmu Ekonomi Bajiminasa Makassar,Jalan Bajiminasa No. 22,Nan
Stmik Samudra Bitung,Jalan Babe Palar No 141,Nan
Akademi Sekretari Dan Manajemen Ariyanti,Jalan Pasirkaliki 127-131,Garut
Akademi Pariwisata Citra Buana Indonesia,Jalan Kh Ahmad Sanusi No 24,Nan
Universitas Citra Bangsa,Jalan Manafe No. 17 Kayu Putih Oebobo Kupang Ntt,Kupang
Politeknik Al-Islam Bandung,Jl. Cisaranten Kulon No 120,Bandung
Sekolah Tinggi Ilmu Ekonomi Nahdlatul Ulama,Jalan Taman Siswa Tahunan,Nan
Sekolah Tinggi Ilmu Kesehatan Alifah Padang,"Alamat, : Jl. Khatib Sulaiman No. 52 Kelurahan Belanti Padang. Kota, : Padang.",Padang
Sekolah Tinggi Agama Kristen Nabire,Nan,Sabang
Sekolah Tinggi Ilmu Ekonomi Satya Dharma,Jalan Yudistira No 11,Buleleng
Stmik Pelita Nusantara Yogyakarta,Jalan C Simanjuntak No 99,Nan
Sekolah Tinggi Ilmu Sosial Dan Politik Mbojo,Jalan Piere Tendean Mande Ii Kelurahan Mande Kecamatan Mpunda,Bima
Universitas Darma Agung,Jalan Dr Td Pardede No 21,Medan
Akademi Keperawatan Bas Balimbingan Pematang Siantar,-,Nan
Institut Agama Islam Muhammadiyah Sinjai,-,Sinjai
Akademi Pariwisata 17 Agustus 1945 Surabaya,Kaza City Mall Lt.01 Jl. Kapas Krampung No. 45 Surabaya,Surabaya
Institut Agama Islam Negeri Metro,Jalan Ki Hajar Dewantara Iringmulyo Metro Timur Kota Metro,Metro
Sekolah Tinggi Ilmu Kesehatan Abdi Persada Banjarmasin,Nan,Banjarmasin
Universitas Pramita Indonesia,Jalan Kampus Pramita Binong,Cianjur
Akademi Keperawatan Yptk Solok,Jl Dr Ak Gani Gurun Bagan Vi Suku,Solok
Sekolah Tinggi Ilmu Tarbiyah Sunniyah Salafiyah,Nan,Nunukan
Universitas Islam Lampung,Jalan Brigjend Soetiyoso Nomor 7,Nan
Politeknik Stia Lan Jakarta,Jl. Administrasi Ii Pejompongan Jakarta Pusat,Administrasi Jakarta Pusat
Sekolah Tinggi Teologi Agapes Jakarta,"Komplek Ruko Bona Gabe Blok G/30 Jl. Jatinegara Timur No. 101, Jakarta Timur.",Administrasi Jakarta Timur
Sekolah Tinggi Manajemen Informatika Dan Komputer Amikom Surakarta,Nan,Sukoharjo
Sekolah Tinggi Agama Kristen Diaspora Wamena,Jalan Jendral Sudirman Wamena Kabupaten Jayawijaya Papua,Nan
Stikes Katolik St Vincentius A Paulo Surabaya,Jl. Jambi 12-18 Surabaya,Surabaya
Sekolah Tinggi Ilmu Al Quran Wali Songo Situbondo Jawa Timur,Jalan Basuki Rahmat Nomor 7 Mimbaan Situbondo Jawa Timur,Nunukan
Universitas Islam Makassar,Jl Perintis Kemerdekaan No 29,Makassar
Stmik Pasim Sukabumi,Jl. Gudang No. 38 A/B Sukabumi,Nan
Universitas Kristen Cipta Wacana,Jalan Semeru 42,Nan
Institut Teknologi Sains Dan Kesehatan Sugeng Hartono,Nan,Sukoharjo
